Month,Quantity,Type
2012-01-01,997,Actual
2012-02-01,800,Actual
2012-03-01,1093,Actual
2012-04-01,1233,Actual
2012-05-01,1268,Actual
2012-06-01,1746,Actual
2012-07-01,1142,Actual
2012-08-01,1822,Actual
2012-09-01,2327,Actual
2012-10-01,1773,Actual
2012-11-01,2341,Actual
2012-12-01,2447,Actual
2013-01-01,1108,Actual
2013-02-01,839,Actual
2013-03-01,1316,Actual
2013-04-01,1298,Actual
2013-05-01,1872,Actual
2013-06-01,2236,Actual
2013-07-01,1402,Actual
2013-08-01,2370,Actual
2013-09-01,2519,Actual
2013-10-01,2114,Actual
2013-11-01,3190,Actual
2013-12-01,2884,Actual
2014-01-01,1452,Actual
2014-02-01,1279,Actual
2014-03-01,1576,Actual
2014-04-01,1652,Actual
2014-05-01,2359,Actual
2014-06-01,3262,Actual
2014-07-01,1929,Actual
2014-08-01,3148,Actual
2014-09-01,3590,Actual
2014-10-01,2214,Actual
2014-11-01,3342,Actual
2014-12-01,3361,Actual
2015-01-01,1923,Actual
2015-02-01,1422,Actual
2015-03-01,2298,Actual
2015-04-01,2208,Actual
2015-05-01,2671,Actual
2015-06-01,3768,Actual
2015-07-01,2145,Actual
2015-08-01,3679,Actual
2015-09-01,4136,Actual
2015-10-01,3484,Actual
2015-11-01,4656,Actual
2015-12-01,4553,Actual
2015-07-01,2369,Forecast
2015-08-01,3593,Forecast
2015-09-01,4028,Forecast
2015-10-01,2653,Forecast
2015-11-01,3818,Forecast
2015-12-01,3797,Forecast
2016-01-01,2442,Forecast
2016-02-01,1889,Forecast
2016-03-01,2862,Forecast
2016-04-01,2734,Forecast
2016-05-01,3121,Forecast
2016-06-01,4242,Forecast
